Id,Label,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Degree,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
ITA,ITA,55.0,5.0,2.140939597315436,298.1050212002684,16,0.013736264,0.013736264,1,0.013187698412917975,0,0.4945054945054945,45,0.36790374682174964
HRV,HRV,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
LBY,LBY,83.0,5.0,2.228187919463087,51.71715939542317,16,0.014652015,0.014652015,1,0.014744941532929995,0,0.3619047619047619,38,0.3150247305936526
PAK,PAK,62.0,5.0,2.1543624161073827,29.212283449140372,12,0.011904762,0.011904762,0,0.01166860176994106,0,0.5757575757575758,38,0.3293967970439541
BLR,BLR,21.0,4.0,2.651006711409396,2.2318016765842854,4,0.0,0.0,0,0.0,0,0.0,0,0.0
UKR,UKR,175.0,4.0,2.087248322147651,395.3955015376579,16,0.011904762,0.011904762,3,0.01189723924522293,0,0.5909090909090909,39,0.32959518023237433
AUS,AUS,41.0,5.0,2.0671140939597317,424.57652462710894,22,0.01831502,0.01831502,1,0.018001675258584215,0,0.391812865497076,67,0.43666615570855766
CHN,CHN,244.0,4.0,1.6979865771812082,2086.5156893410035,59,0.041208792,0.041208792,0,0.04089261259684189,0,0.23255813953488372,220,0.817963545084467
THA,THA,10.0,5.0,2.3422818791946307,0.0,5,0.0054945056,0.0054945056,0,0.005943094635238151,0,1.0,10,0.154568516137256
GBR,GBR,166.0,4.0,1.8053691275167785,988.415996897968,46,0.034798536,0.034798536,0,0.0330082703925962,0,0.3123123123123123,208,0.7668246497962766
IRN,IRN,125.0,5.0,2.0939597315436242,62.1816725122044,19,0.01831502,0.01831502,0,0.01732732737678861,0,0.47368421052631576,81,0.4863329579436829
TUR,TUR,109.0,4.0,2.0134228187919465,190.3365659099941,23,0.01923077,0.01923077,1,0.018151248707265526,0,0.45789473684210524,87,0.498261476903147
VAT,VAT,193.0,5.0,1.9932885906040267,417.1976745687568,30,0.026556777,0.026556777,4,0.026462111519036272,0,0.30423280423280424,115,0.515834301448186
EGY,EGY,57.0,5.0,2.0939597315436242,164.8946283614206,20,0.01831502,0.01831502,1,0.01783227098054806,0,0.4152046783625731,71,0.44231051841530095
TWN,TWN,17.0,5.0,2.335570469798658,148.0,4,0.0,0.0,0,0.0,0,0.0,0,0.0
LKA,LKA,73.0,5.0,2.315436241610738,3.326676461268113,7,0.0073260074,0.0073260074,4,0.007736819649138579,0,0.7142857142857143,15,0.18982882514610325
ISR,ISR,344.0,5.0,2.1006711409395975,161.37716175027745,23,0.021062272,0.021062272,1,0.02019887528542501,0,0.36796536796536794,85,0.48119743121627134
CHL,CHL,27.0,5.0,2.4630872483221475,22.9542092557114,11,0.01007326,0.01007326,4,0.010318993065960897,0,0.5555555555555556,25,0.20041955522767835
ESP,ESP,82.0,5.0,2.1073825503355703,217.2210611846704,21,0.017399268,0.017399268,3,0.016628255965797208,0,0.37254901960784315,57,0.4220433581435952
KOR,KOR,44.0,5.0,2.2416107382550337,47.19165677820077,10,0.00915751,0.00915751,0,0.009494029733494105,0,0.5,18,0.23690649248364512
PAN,PAN,11.0,6.0,2.7248322147651005,4.5584592365474705,9,0.00915751,0.00915751,0,0.00955947111320494,0,0.5833333333333334,21,0.1518606565980567
COL,COL,18.0,5.0,2.2818791946308723,51.48170729370174,11,0.01007326,0.01007326,0,0.010241903229940712,0,0.6666666666666666,30,0.2277916372029781
YEM,YEM,55.0,5.0,2.2885906040268456,15.301151862455074,8,0.0073260074,0.0073260074,1,0.007606467034260788,0,0.5714285714285714,12,0.2122538491054746
PRK,PRK,88.0,5.0,2.261744966442953,7.940874912987537,7,0.0073260074,0.0073260074,0,0.007728413089499881,0,0.5238095238095238,11,0.1857721822193781
SAU,SAU,65.0,5.0,2.12751677852349,122.76891901067332,19,0.016483517,0.016483517,0,0.015886621118927902,0,0.45588235294117646,62,0.4294438736929246
KHM,KHM,5.0,5.0,2.48993288590604,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0.0
HUN,HUN,4.0,5.0,2.5906040268456376,0.0,4,0.0,0.0,0,0.0,0,0.0,0,0.0
LBN,LBN,109.0,5.0,2.315436241610738,27.56652040769689,10,0.008241759,0.008241759,1,0.008192426456153869,0,0.6785714285714286,19,0.21811407558858784
BRA,BRA,36.0,5.0,2.2013422818791946,50.83146487334299,15,0.014652015,0.014652015,2,0.01467788168809885,0,0.45714285714285713,48,0.32188480804987696
GRC,GRC,161.0,4.0,2.0604026845637584,169.9015176199326,19,0.016483517,0.016483517,3,0.015582550372881358,0,0.49264705882352944,67,0.44191463309934403
SVN,SVN,3.0,6.0,3.1073825503355703,1.0718042842613782,2,0.0,0.0,0,0.0,0,0.0,0,0.0
CZE,CZE,5.0,5.0,2.8120805369127515,14.312846249610953,4,0.0,0.0,0,0.0,0,0.0,0,0.0
COD,COD,4.0,6.0,3.6040268456375837,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0.0
HND,HND,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
BEL,BEL,72.0,5.0,2.3288590604026846,258.10358458506556,17,0.014652015,0.014652015,3,0.014211034252428938,0,0.4,42,0.3413008402836821
ECU,ECU,25.0,5.0,2.302013422818792,62.15297540187212,12,0.010989011,0.010989011,4,0.011353947606327321,0,0.43636363636363634,24,0.2294004963942402
CUB,CUB,144.0,5.0,2.1476510067114094,86.94809258759042,17,0.015567766,0.015567766,0,0.015294835082834522,0,0.4583333333333333,55,0.3588045637264496
ARG,ARG,46.0,5.0,2.1812080536912752,210.2490373816517,17,0.015567766,0.015567766,0,0.015461493742109658,0,0.39166666666666666,47,0.3480721917823643
SWE,SWE,11.0,5.0,2.38255033557047,11.616149131450653,8,0.0073260074,0.0073260074,1,0.00745686810141517,0,0.6190476190476191,13,0.19860468333153714
CYP,CYP,4.0,5.0,2.664429530201342,0.25882352941176473,3,0.0,0.0,0,0.0,0,0.0,0,0.0
CHE,CHE,40.0,5.0,2.161073825503356,66.85998556270502,13,0.010989011,0.010989011,1,0.010967533943611978,0,0.4727272727272727,26,0.29300419031696295
NLD,NLD,22.0,5.0,2.2818791946308723,14.016052817905944,8,0.008241759,0.008241759,1,0.008753204334026491,0,0.5357142857142857,15,0.20461974522790083
PHL,PHL,101.0,5.0,2.261744966442953,11.885771281955115,9,0.008241759,0.008241759,4,0.00853682511404685,0,0.6428571428571429,18,0.2275832325537256
DEU,DEU,182.0,4.0,1.9261744966442953,485.44007104440317,31,0.025641026,0.025641026,3,0.024433383351848744,0,0.3646723646723647,128,0.6083498498156881
CAN,CAN,54.0,5.0,2.1073825503355703,59.21336379635459,19,0.01831502,0.01831502,1,0.01752204708723604,0,0.4444444444444444,76,0.4645527492963055
BGD,BGD,2.0,5.0,2.6442953020134228,1.6495744451626804,2,0.0,0.0,0,0.0,0,0.0,0,0.0
JOR,JOR,34.0,5.0,2.4563758389261743,2.5318865345181134,8,0.008241759,0.008241759,0,0.008184520675276408,0,0.75,21,0.2262374933823704
VEN,VEN,61.0,5.0,2.1140939597315436,119.1707326855765,19,0.017399268,0.017399268,0,0.016926124685269977,0,0.43790849673202614,67,0.39207206359052277
POL,POL,25.0,4.0,2.208053691275168,40.47839854404542,10,0.01007326,0.01007326,3,0.010401394621983943,0,0.5333333333333333,24,0.2559497436695781
DNK,DNK,5.0,5.0,2.469798657718121,2.6937658988702635,3,0.0,0.0,0,0.0,0,0.0,0,0.0
CMR,CMR,12.0,6.0,3.134228187919463,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0.0
ZAF,ZAF,4.0,5.0,2.8523489932885906,163.10167055167057,4,0.0,0.0,0,0.0,0,0.0,0,0.0
MLI,MLI,12.0,5.0,2.3422818791946307,103.95451438657962,6,0.0054945056,0.0054945056,1,0.006877140283145635,0,0.5,5,0.13066554012849885
NPL,NPL,8.0,5.0,2.4093959731543624,0.7400793650793651,5,0.0054945056,0.0054945056,1,0.00585448266333717,0,0.8,8,0.16126875361890938
BIH,BIH,5.0,4.0,2.610738255033557,57.58065333789017,5,0.004578755,0.004578755,3,0.005059872784552404,0,0.8333333333333334,5,0.11862078050664074
COG,COG,16.0,5.0,2.61744966442953,358.36355531723154,6,0.0018315018,0.0018315018,0,0.0027124218994515944,0,0.0,0,0.04218178236912187
SSD,SSD,23.0,5.0,2.4161073825503356,0.0,3,0.0,0.0,0,0.0,0,0.0,0,0.0
SDN,SDN,37.0,5.0,2.2751677852348995,23.09238385066945,10,0.00915751,0.00915751,1,0.009561590766702642,0,0.4722222222222222,17,0.230470617582701
AFG,AFG,30.0,5.0,2.248322147651007,3.66432913491737,8,0.008241759,0.008241759,0,0.008364860214840645,0,0.75,21,0.25600081280728537
CRI,CRI,8.0,5.0,2.5167785234899327,1.08821044546851,6,0.0064102565,0.0064102565,0,0.006818763481440955,0,0.6666666666666666,10,0.13436603488251875
IRL,IRL,14.0,5.0,2.2885906040268456,5.275054049837331,7,0.0073260074,0.0073260074,1,0.007446858798188394,0,0.7619047619047619,16,0.21960084921584333
BHR,BHR,6.0,5.0,2.4161073825503356,0.7872766122766123,4,0.0,0.0,0,0.0,0,0.0,0,0.0
ARM,ARM,14.0,5.0,2.5838926174496644,148.0,4,0.0,0.0,0,0.0,0,0.0,0,0.0
