Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
TUN,TUN,7,17.0,4.0,2.2911392405063293,1.7907248867926617,0.0056457305,0.0056457305,4,0.006010099411663526,0,0.7142857142857143,15,0.15727221596568464
LVA,LVA,1,1.0,5.0,3.069620253164557,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
JAM,JAM,4,15.0,4.0,2.2911392405063293,133.10308003400107,0.0,0.0,0,0.0,0,0.0,0,0.0
BGD,BGD,4,9.0,4.0,2.6582278481012658,0.6418345543345544,0.0,0.0,0,0.0,0,0.0,0,0.0
TZA,TZA,3,4.0,4.0,2.4177215189873418,4.477698648562246,0.0,0.0,0,0.0,0,0.0,0,0.0
LBR,LBR,4,5.0,4.0,2.310126582278481,19.820602293008566,0.0,0.0,0,0.0,0,0.0,0,0.0
SYC,SYC,7,8.0,4.0,2.5063291139240507,4.765012778123897,0.0056457305,0.0056457305,1,0.006025715268833111,0,0.38095238095238093,8,0.12661971276337744
HUN,HUN,7,9.0,4.0,2.3227848101265822,7.965712864977232,0.0056457305,0.0056457305,3,0.006164459362834878,0,0.47619047619047616,10,0.132552898927374
QAT,QAT,5,15.0,4.0,2.329113924050633,0.8196687370600413,0.0042342977,0.0042342977,5,0.004740109653109249,0,0.7,7,0.13048097247000612
KHM,KHM,3,16.0,5.0,2.632911392405063,13.260163350294928,0.0,0.0,0,0.0,0,0.0,0,0.0
IRL,IRL,1,2.0,4.0,2.7025316455696204,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
SDN,SDN,13,27.0,4.0,2.132911392405063,176.72706719343574,0.0091743115,0.0091743115,5,0.009203124138593947,0,0.5757575757575758,38,0.269620097452024
CIV,CIV,1,5.0,5.0,3.449367088607595,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
GHA,GHA,4,9.0,4.0,2.4556962025316458,313.00000000000006,0.0,0.0,0,0.0,0,0.0,0,0.0
