Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality,Authority,Hub
SVN,SVN,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
COG,COG,5,6.0,3.0,2.05,0.0,3,0.0049627148994037945,0,1.0,6,0.12250551624371926,0.004484305,0.004484305
DNK,DNK,3,4.0,4.0,2.5496688741721854,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
GUY,GUY,2,3.0,4.0,2.410596026490066,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
SLV,SLV,5,6.0,3.0,2.025,4.804486446729031,2,0.006414119294341922,0,0.3,3,0.08421827390970626,0.005381166,0.005381166
HTI,HTI,4,5.0,4.0,2.3642384105960264,6.914324894943019,0,0.0,0,0.0,0,0.0,0.0,0.0
NRU,NRU,1,1.0,5.0,3.152317880794702,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
CMR,CMR,9,30.0,3.0,1.9375,0.8583333333333333,2,0.007555946180056514,0,0.9047619047619048,19,0.20147201900052306,0.0071748877,0.0071748877
CZE,CZE,2,4.0,4.0,2.748344370860927,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
SWE,SWE,3,3.0,4.0,2.3973509933774833,0.5950860607400854,0,0.0,0,0.0,0,0.0,0.0,0.0
AZE,AZE,2,2.0,4.0,2.589403973509934,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
ARE,ARE,5,6.0,3.0,2.0125,0.3607142857142857,2,0.005763521274909801,0,0.8,8,0.14490077019953285,0.005381166,0.005381166
MKD,MKD,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
XK,XK,2,3.0,5.0,3.225165562913907,2.166666666666667,0,0.0,0,0.0,0,0.0,0.0,0.0
SEN,SEN,2,2.0,5.0,2.947019867549669,3.7923611111111106,0,0.0,0,0.0,0,0.0,0.0,0.0
DOM,DOM,6,6.0,3.0,2.375,1.3055916305916306,3,0.005806596948757766,0,0.2,2,0.09573036727741924,0.005381166,0.005381166
VUT,VUT,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
SGP,SGP,6,6.0,3.0,2.025,0.5541666666666667,0,0.005814271592961445,0,0.8,8,0.13701881935611263,0.005381166,0.005381166
GHA,GHA,3,3.0,4.0,2.3046357615894038,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
LKA,LKA,6,9.0,3.0,2.25,1.6547619047619044,2,0.006780377972924783,0,0.5333333333333333,8,0.10930169738165783,0.006278027,0.006278027
TON,TON,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
MAC,MAC,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
GIN,GIN,6,17.0,3.0,2.425,0.0,2,0.0034337179380892883,0,1.0,1,0.05280493173229733,0.002690583,0.002690583
KWT,KWT,1,1.0,4.0,2.9205298013245033,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
MOZ,MOZ,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
ALB,ALB,2,3.0,4.0,2.4172185430463577,82.44231601731603,0,0.0,0,0.0,0,0.0,0.0,0.0
ROU,ROU,8,16.0,3.0,2.0125,0.0,0,0.006566130468955755,0,1.0,15,0.17337035278608312,0.006278027,0.006278027
ATG,ATG,2,2.0,4.0,2.728476821192053,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
RWA,RWA,4,4.0,4.0,2.5496688741721854,1.1933062880324545,0,0.0,0,0.0,0,0.0,0.0,0.0
LBR,LBR,2,4.0,4.0,2.4172185430463577,99.9962481962482,0,0.0,0,0.0,0,0.0,0.0,0.0
CIV,CIV,2,3.0,5.0,3.2781456953642385,2.2,0,0.0,0,0.0,0,0.0,0.0,0.0
NPL,NPL,4,12.0,4.0,2.3112582781456954,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
GNB,GNB,2,11.0,4.0,2.6688741721854305,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
MDA,MDA,5,11.0,3.0,2.275,0.16666666666666666,0,0.005083208334914223,0,0.8333333333333334,5,0.10290769104113165,0.004484305,0.004484305
EST,EST,1,1.0,5.0,3.1390728476821192,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
COD,COD,1,1.0,5.0,3.3245033112582782,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
TGO,TGO,1,1.0,5.0,3.7019867549668874,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
FJI,FJI,1,2.0,5.0,3.0463576158940397,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
TLS,TLS,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
PNG,PNG,2,4.0,5.0,3.019867549668874,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
MDV,MDV,2,2.0,4.0,2.629139072847682,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
BFA,BFA,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
TJK,TJK,1,1.0,4.0,2.6953642384105962,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
TZA,TZA,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
MLT,MLT,1,1.0,5.0,3.7417218543046356,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
FIN,FIN,2,2.0,4.0,2.6026490066225167,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
NAM,NAM,1,1.0,4.0,2.443708609271523,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
GRD,GRD,1,1.0,5.0,3.2980132450331126,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
TTO,TTO,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
SVK,SVK,3,5.0,4.0,2.5364238410596025,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
ISL,ISL,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
ESH,ESH,1,1.0,4.0,2.443708609271523,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
TKM,TKM,1,1.0,4.0,2.6953642384105962,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
BLZ,BLZ,1,1.0,4.0,2.443708609271523,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
SWZ,SWZ,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
VIR,VIR,1,3.0,4.0,2.774834437086093,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
UZB,UZB,2,3.0,4.0,2.6754966887417218,1.973748473748474,0,0.0,0,0.0,0,0.0,0.0,0.0
BDI,BDI,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
BWA,BWA,1,1.0,4.0,2.6953642384105962,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
ZMB,ZMB,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
ZWE,ZWE,1,1.0,5.0,3.2781456953642385,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
BEN,BEN,1,1.0,4.0,2.76158940397351,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
COM,COM,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
MRT,MRT,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
MDG,MDG,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
LUX,LUX,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
OMN,OMN,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
