Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
LBY,LBY,10,41.0,5.0,2.25,24.728957501719645,0.009657594,0.009657594,1,0.009098698584854719,0,0.4,18,0.2334684003175109
HUN,HUN,4,11.0,5.0,2.287878787878788,0.0,0.0043898155,0.0043898155,0,0.004101199669423652,0,1.0,6,0.156012311880766
KHM,KHM,3,5.0,5.0,2.6363636363636362,5.287743422727941,0.0035118526,0.0035118526,0,0.003524222932882972,0,0.3333333333333333,1,0.06771761023696339
IND,IND,24,97.0,5.0,2.022727272727273,352.1406910758619,0.021949079,0.021949079,0,0.02106555407571602,0,0.2210144927536232,61,0.4338371980467373
PAK,PAK,10,25.0,5.0,2.1818181818181817,33.46350460684825,0.009657594,0.009657594,0,0.008732469885660314,0,0.5333333333333333,24,0.2703977653038304
IDN,IDN,9,28.0,5.0,2.25,103.41658976190153,0.008779631,0.008779631,3,0.009025345586006839,0,0.3611111111111111,13,0.197092301992568
UGA,UGA,5,15.0,5.0,2.5681818181818183,132.1818181818182,0.005267779,0.005267779,5,0.006334329715675599,0,0.4,4,0.08406532732797398
GRC,GRC,7,10.0,5.0,2.242424242424242,134.0945046120641,0.007023705,0.007023705,2,0.007221988346438702,0,0.5238095238095238,11,0.20726475780615475
MAR,MAR,4,5.0,5.0,2.765151515151515,132.59659863945578,0.0043898155,0.0043898155,2,0.005404206270649532,0,0.3333333333333333,2,0.06158210479521347
IRQ,IRQ,7,33.0,5.0,2.2803030303030303,8.353241827913402,0.007023705,0.007023705,0,0.006481394868137774,0,0.5714285714285714,12,0.19601508232968137
MLI,MLI,5,10.0,5.0,2.6136363636363638,9.810216556462686,0.005267779,0.005267779,0,0.005151338884183595,0,0.3,3,0.09696955314921858
FRA,FRA,35,144.0,4.0,1.856060606060606,989.1571481902017,0.031606674,0.031606674,0,0.03268015392269311,0,0.1815126050420168,108,0.5901941757631841
BGD,BGD,5,6.0,5.0,2.3106060606060606,46.75519480519478,0.005267779,0.005267779,0,0.005267989424056185,0,0.5,5,0.1436093773363139
VAT,VAT,20,50.0,4.0,2.037878787878788,82.08089796287207,0.018437225,0.018437225,0,0.01621424374449421,0,0.3631578947368421,69,0.4463343979669296
THA,THA,4,6.0,5.0,2.2803030303030303,0.0,0.0043898155,0.0043898155,0,0.004111000777310345,0,1.0,6,0.16959393752393487
UKR,UKR,9,30.0,5.0,2.227272727272727,12.786721350299413,0.008779631,0.008779631,0,0.00785223899258404,0,0.4444444444444444,16,0.2442040616693889
CHE,CHE,17,107.0,4.0,2.015151515151515,93.15669263288679,0.015803337,0.015803337,2,0.014234146658500165,0,0.4485294117647059,61,0.4276853002512502
IRN,IRN,20,137.0,4.0,2.0606060606060606,112.40998075379376,0.018437225,0.018437225,2,0.01649206186278248,0,0.34210526315789475,65,0.42808395223405304
TUR,TUR,12,31.0,5.0,2.3484848484848486,62.422387428123834,0.01141352,0.01141352,2,0.010831439631757788,0,0.19696969696969696,13,0.22685920936135856
JPN,JPN,14,78.0,4.0,2.0454545454545454,58.18249068609595,0.013169447,0.013169447,0,0.011918618970329895,0,0.45054945054945056,41,0.35460567351374034
AFG,AFG,10,42.0,5.0,2.272727272727273,18.57149794649795,0.009657594,0.009657594,0,0.00895230235527779,0,0.4444444444444444,20,0.2278598578707635
AUS,AUS,25,69.0,4.0,1.9848484848484849,550.2329125302409,0.02282704,0.02282704,3,0.022778992594933458,0,0.19333333333333333,58,0.41524006396227736
ESP,ESP,12,17.0,5.0,2.121212121212121,36.06631438552602,0.01141352,0.01141352,0,0.010304474867567191,0,0.45454545454545453,30,0.309572147961641
PSE,PSE,11,100.0,4.0,2.234848484848485,20.934353185514173,0.010535558,0.010535558,4,0.009556396557477904,0,0.5272727272727272,29,0.2609977031897832
VIR,VIR,2,4.0,5.0,2.5303030303030303,0.0,0.0026338894,0.0026338894,0,0.002603670119194372,0,1.0,1,0.08623020436332021
SSD,SSD,11,157.0,5.0,2.1893939393939394,76.32220036126981,0.010535558,0.010535558,5,0.010454585701468476,0,0.41818181818181815,23,0.22506544364676476
RUS,RUS,19,102.0,5.0,2.037878787878788,246.67920161631727,0.017559262,0.017559262,0,0.01673647874815916,0,0.3157894736842105,54,0.40377127285556463
ETH,ETH,7,26.0,5.0,2.590909090909091,7.6643145854833135,0.007023705,0.007023705,5,0.006572775824363906,0,0.47619047619047616,10,0.13526148537352992
CAF,CAF,8,20.0,5.0,2.303030303030303,191.71262721671323,0.007901669,0.007901669,5,0.008886996897200138,0,0.2857142857142857,8,0.1385521039087641
ESH,ESH,1,1.0,6.0,3.757575757575758,0.0,0.0017559263,0.0017559263,2,0.0022595019677192694,0,0.0,0,0.004128170277331265
COG,COG,3,5.0,5.0,2.3636363636363638,10.276984126984129,0.0035118526,0.0035118526,0,0.0036802589887444444,0,0.6666666666666666,2,0.1109066508586506
CUB,CUB,10,23.0,5.0,2.1742424242424243,111.96530982693072,0.009657594,0.009657594,0,0.009860557130173976,0,0.26666666666666666,12,0.17711581515223218
